PaÃ­s;CÃ³digo ISO paÃ­s;Oficina de registro;Grupo edad;Edad (aÃ±os);Ãrea Conocimiento;Sub Area Conocimiento;Nivel AcadÃ©mico;Estado civil;GÃ©nero;Etnia de la persona;Estatura (CM);LocalizaciÃ³n;Cantidad de personas;
BRASIL;BRA;C. SAO PAULO;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;DESCONOCIDO;MASCULINO;SIN ETNIA REGISTRADA;-1;(-14.235004, -51.92528);1;
PORTUGAL;PRT;C. LISBOA;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;SOLTERO;MASCULINO;OTRO;-1;(39.399872, -8.224454);1;
ESPAÃ‘A;ESP;C. BARCELONA;ADULTO JOVEN;18;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA CIVIL Y AFINES;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;MASCULINO;OTRO;-1;(40.463667, -3.74922);1;
PORTUGAL;PRT;C. LISBOA;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(39.399872, -8.224454);1;
VENEZUELA;VEN;C. PUERTO LA CRUZ;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;MASCULINO;SIN ETNIA REGISTRADA;145;(6.42375, -66.58973);1;
COSTA RICA;CRI;C. SAN JOSE;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;DESCONOCIDO;MASCULINO;OTRO;-1;(9.748917, -83.753428);1;
CANADA;CAN;C. TORONTO;ADULTO JOVEN;18;NINGUNA;NINGUNA;NINGUNO;SOLTERO;MASCULINO;NINGUNA;-1;(56.130366, -106.346771);1;
ESTADOS UNIDOS;USA;C. HOUSTON;ADULTO JOVEN;18;CIENCIAS SOCIALES Y HUMANAS;DERECHO Y AFINES;PREGRADO - PROFESIONAL;SOLTERO;MASCULINO;OTRO;123;(37.09024, -95.712891);1;
PERU;PER;C. LIMA;ADULTO JOVEN;18;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA ELECTRÃ“NICA, TELECOMUNICACIONES Y AFINES;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(-9.189967, -75.015152);1;
ESTADOS UNIDOS;USA;C. NUEVA YORK;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;SOLTERO;FEMENINO;NINGUNA;147;(37.09024, -95.712891);1;
EGIPTO;EGY;C. EL CAIRO;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(26.820553, 30.802498);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;FEMENINO;OTRO;150;(40.463667, -3.74922);1;
ESPAÃ‘A;ESP;C. SEVILLA;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;MASCULINO;OTRO;146;(40.463667, -3.74922);1;
VENEZUELA;VEN;C. SAN ANT DE TACHIRA;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;SOLTERO;FEMENINO;OTRO;130;(6.42375, -66.58973);1;
VENEZUELA;VEN;C. MERIDA VEN;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;144;(6.42375, -66.58973);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;SOLTERO;MASCULINO;OTRO;133;(40.463667, -3.74922);1;
VENEZUELA;VEN;C. VALENCIA VEN;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;125;(6.42375, -66.58973);1;
ESPAÃ‘A;ESP;C. BARCELONA;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;-1;(40.463667, -3.74922);3;
VENEZUELA;VEN;C. BARQUISIMETO;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;DESCONOCIDO;MASCULINO;OTRO;-1;(6.42375, -66.58973);1;
VENEZUELA;VEN;C. VALENCIA VEN;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;FEMENINO;NINGUNA;130;(6.42375, -66.58973);1;
CANADA;CAN;C. OTTAWA;ADULTO JOVEN;18;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;OTRO;-1;(56.130366, -106.346771);1;
ESTADOS UNIDOS;USA;C. HOUSTON;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;145;(37.09024, -95.712891);1;
GUATEMALA;GTM;C. GUATEMALA;ADULTO JOVEN;18;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA AGRÃCOLA, FORESTAL Y AFINES;PREGRADO - PROFESIONAL;SOLTERO;MASCULINO;OTRO;-1;(15.783471, -90.230759);1;
VENEZUELA;VEN;C. VALENCIA VEN;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;FEMENINO;NINGUNA;140;(6.42375, -66.58973);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;MASCULINO;OTRO;136;(40.463667, -3.74922);1;
ESTADOS UNIDOS;USA;C. ORLANDO;ADULTO JOVEN;18;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;FEMENINO;NINGUNA;169;(37.09024, -95.712891);1;
VENEZUELA;VEN;C. CARACAS;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;137;(6.42375, -66.58973);1;
ESPAÃ‘A;ESP;C. BILBAO;ADULTO JOVEN;18;CIENCIAS SOCIALES Y HUMANAS;OTROS ESTUDIOS EN CIENCIAS SOCIALES Y HUMANAS;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;FEMENINO;NINGUNA;-1;(40.463667, -3.74922);1;
